image_name,u_floorplan,v_floorplan,heading_deg,source,source_image_path
frame_000121.jpg,1154.326176,1553.822579,,existing,
frame_000122.jpg,1152.446493,1567.572079,,existing,
frame_000123.jpg,1154.552076,1584.338044,,existing,
frame_000124.jpg,1159.052037,1598.700578,,existing,
frame_000125.jpg,1163.041335,1615.055580,,existing,
frame_000126.jpg,1166.351027,1631.542177,,existing,
frame_000127.jpg,1173.560737,1646.539967,,existing,
frame_000128.jpg,1184.411439,1658.772190,,existing,
frame_000129.jpg,1192.552766,1672.783798,,existing,
frame_000130.jpg,1199.978388,1689.249621,,existing,
frame_000131.jpg,1206.906383,1702.436532,,existing,
frame_000132.jpg,1216.678542,1716.932745,,existing,
frame_000133.jpg,1224.770609,1730.868723,,existing,
frame_000134.jpg,1230.916174,1748.308011,,existing,
frame_000135.jpg,1236.685436,1764.983240,,existing,
frame_000136.jpg,1243.348883,1779.716980,,existing,
frame_000137.jpg,1249.836579,1795.975143,,existing,
frame_000138.jpg,1251.638536,1810.392592,,existing,
frame_000139.jpg,1251.242092,1826.973698,,existing,
frame_000140.jpg,1250.830878,1840.419830,,existing,
frame_000141.jpg,1251.215818,1856.711529,,existing,
frame_000142.jpg,1250.955820,1871.760378,,existing,
frame_000143.jpg,1246.370504,1886.128948,,existing,
frame_000144.jpg,1240.336713,1902.183158,,existing,
frame_000145.jpg,1235.932470,1915.874306,,existing,
frame_000146.jpg,1232.018041,1933.413314,,existing,
frame_000147.jpg,1227.466554,1948.094574,,existing,
frame_000148.jpg,1218.829034,1964.189565,,existing,
frame_000149.jpg,1209.659710,1979.477940,,existing,
frame_000150.jpg,1202.676702,1995.009294,,existing,
frame_000151.jpg,1195.163198,2013.452650,,existing,
frame_000152.jpg,1187.136112,2027.500152,,existing,
frame_000153.jpg,1175.958485,2042.894352,,existing,
frame_000154.jpg,1168.593800,2059.926239,,existing,
frame_000155.jpg,1162.191570,2081.573116,,existing,
frame_000156.jpg,1156.521448,2095.690073,,existing,
frame_000157.jpg,1149.658251,2109.353116,,existing,
frame_000158.jpg,1143.982335,2127.003078,,existing,
frame_000159.jpg,1143.834116,2141.889698,,existing,
frame_000160.jpg,1147.822526,2158.426847,,existing,
frame_000161.jpg,1150.590044,2172.222179,,existing,
frame_000162.jpg,1153.189958,2189.227056,,existing,
frame_000163.jpg,1159.991378,2203.258393,,existing,
frame_000164.jpg,1170.436919,2213.786119,,existing,
frame_000165.jpg,1181.457331,2226.375298,,existing,
frame_000166.jpg,1189.332384,2240.356425,,existing,
frame_000167.jpg,1197.104078,2254.782366,,existing,
frame_000168.jpg,1206.485553,2266.665475,,existing,
frame_000169.jpg,1218.258299,2281.444723,,existing,
frame_000170.jpg,1226.504855,2297.216230,,existing,
frame_000171.jpg,1232.391859,2312.800204,,existing,
frame_000172.jpg,1240.154843,2327.414197,,existing,
frame_000173.jpg,1248.248183,2341.391253,,existing,
frame_000174.jpg,1253.355406,2354.857609,,existing,
frame_000175.jpg,1254.294365,2368.985545,,existing,
frame_000176.jpg,1252.154080,2386.038041,,existing,
frame_000177.jpg,1250.438253,2398.870795,,existing,
frame_000178.jpg,1249.001482,2411.720121,,existing,
frame_000179.jpg,1245.463028,2424.807196,,existing,
frame_000180.jpg,1238.525932,2436.650212,,existing,
frame_000181.jpg,1230.376566,2449.268676,,existing,
frame_000182.jpg,1223.477633,2463.976485,,existing,
frame_000183.jpg,1218.434934,2479.420635,,existing,
frame_000184.jpg,1210.933082,2495.468579,,existing,
frame_000185.jpg,1202.129008,2510.880164,,existing,
frame_000186.jpg,1194.906870,2527.173899,,existing,
frame_000187.jpg,1190.333879,2542.774458,,existing,
frame_000188.jpg,1186.737944,2561.059729,,existing,
frame_000189.jpg,1181.076631,2578.898232,,existing,
frame_000190.jpg,1176.535489,2595.357473,,existing,
frame_000191.jpg,1174.157349,2613.267718,,existing,
frame_000192.jpg,1172.715811,2630.856658,,existing,
frame_000193.jpg,1169.460334,2647.244337,,existing,
frame_000194.jpg,1164.928613,2663.069004,,existing,
frame_000195.jpg,1159.718097,2681.795258,,existing,
frame_000196.jpg,1157.532844,2701.477173,,existing,
frame_000197.jpg,1158.085481,2716.718271,,existing,
frame_000198.jpg,1159.707399,2733.816820,,existing,
frame_000199.jpg,1161.455503,2748.567219,,existing,
frame_000200.jpg,1167.163644,2762.535801,,existing,
frame_000201.jpg,1177.265583,2775.303503,,existing,
frame_000202.jpg,1186.039461,2786.923429,,existing,
frame_000203.jpg,1194.229983,2801.901599,,existing,
frame_000204.jpg,1203.102997,2814.733019,,existing,
frame_000205.jpg,1215.395801,2827.119394,,existing,
frame_000206.jpg,1226.021473,2839.287447,,existing,
frame_000207.jpg,1234.392868,2853.254606,,existing,
frame_000208.jpg,1240.435812,2867.490269,,existing,
frame_000209.jpg,1248.351359,2881.535986,,existing,
frame_000210.jpg,1256.795961,2896.125066,,existing,
frame_000211.jpg,1261.153357,2908.448616,,existing,
frame_000212.jpg,1260.969556,2922.929164,,existing,
frame_000213.jpg,1258.297597,2937.894090,,existing,
frame_000214.jpg,1256.259527,2952.852810,,existing,
frame_000215.jpg,1255.491041,2966.508132,,existing,
frame_000216.jpg,1252.870040,2981.729426,,existing,
frame_000217.jpg,1245.544431,2997.564045,,existing,
frame_000218.jpg,1238.413282,3013.064868,,existing,
frame_000219.jpg,1232.080353,3029.857449,,existing,
frame_000220.jpg,1227.765846,3046.115013,,existing,
frame_000221.jpg,1219.677724,3062.353526,,existing,
frame_000222.jpg,1209.554782,3077.056310,,existing,
frame_000223.jpg,1200.692059,3092.452938,,existing,
frame_000224.jpg,1194.024761,3109.263084,,existing,
frame_000225.jpg,1188.617799,3124.026363,,existing,
frame_000226.jpg,1179.025423,3140.679747,,existing,
frame_000227.jpg,1171.342492,3154.897510,,existing,
frame_000228.jpg,1166.155914,3171.357626,,existing,
frame_000229.jpg,1165.730029,3186.690612,,existing,
frame_000230.jpg,1168.096971,3200.303026,,existing,
frame_000231.jpg,1169.811665,3218.087182,,existing,
frame_000232.jpg,1175.573050,3234.281786,,existing,
frame_000233.jpg,1193.446867,3232.405767,,existing,
frame_000234.jpg,1198.164805,3241.837036,,existing,
frame_000235.jpg,1205.245354,3243.648670,,existing,
frame_000236.jpg,1212.920509,3245.873054,,existing,
frame_000237.jpg,1221.666815,3248.605008,,existing,
frame_000238.jpg,1230.546390,3248.622925,,existing,
frame_000239.jpg,1239.932762,3245.849288,,existing,
frame_000240.jpg,1251.551166,3241.847456,,existing,
frame_000241.jpg,1263.971513,3243.142242,,existing,
frame_000242.jpg,1275.916565,3245.840754,,existing,
frame_000243.jpg,1287.919314,3247.982979,,existing,
frame_000244.jpg,1309.384044,3240.959611,,existing,
frame_000245.jpg,1343.685773,3216.268521,,existing,
frame_000246.jpg,1357.215196,3222.143982,,existing,
frame_000247.jpg,1371.342502,3231.903268,,existing,
frame_000248.jpg,1382.211144,3240.615056,,existing,
frame_000249.jpg,1397.159471,3249.582328,,existing,
frame_000250.jpg,1405.889270,3263.218751,,existing,
frame_000251.jpg,1406.929601,3283.822924,,existing,
frame_000252.jpg,1379.015046,3302.356022,,existing,
frame_000253.jpg,1376.020476,3320.046473,,existing,
frame_000254.jpg,1373.705259,3338.421999,,existing,
frame_000255.jpg,1369.541746,3353.788709,,existing,
frame_000256.jpg,1361.116160,3366.941421,,existing,
frame_000257.jpg,1350.223614,3379.451604,,existing,
frame_000258.jpg,1341.009038,3394.042465,,existing,
frame_000259.jpg,1330.886539,3413.839395,,existing,
frame_000260.jpg,1324.062199,3424.974796,,existing,
frame_000261.jpg,1310.960024,3435.759687,,existing,
frame_000262.jpg,1297.814657,3451.375113,,existing,
frame_000263.jpg,1285.728672,3467.819714,,existing,
frame_000264.jpg,1276.984666,3482.374663,,existing,
frame_000265.jpg,1265.449687,3496.644664,,existing,
frame_000266.jpg,1253.305380,3509.825218,,existing,
frame_000267.jpg,1245.520183,3523.546198,,existing,
frame_000268.jpg,1239.458210,3541.049903,,existing,
frame_000269.jpg,1236.807291,3555.827910,,existing,
frame_000270.jpg,1232.599962,3573.149457,,existing,
frame_000271.jpg,1227.730806,3590.459956,,existing,
frame_000272.jpg,1226.805209,3609.556999,,existing,
frame_000273.jpg,1235.320291,3622.246661,,existing,
frame_000274.jpg,1233.870417,3640.039874,,existing,
frame_000275.jpg,1228.804597,3661.927080,,existing,
frame_000276.jpg,1229.189386,3680.379426,,existing,
frame_000277.jpg,1233.508927,3696.269914,,existing,
frame_000278.jpg,1237.724456,3712.752995,,existing,
frame_000279.jpg,1238.968025,3732.223719,,existing,
frame_000280.jpg,1241.009027,3751.676554,,existing,
frame_000281.jpg,1244.734987,3767.383843,,existing,
frame_000282.jpg,1251.906980,3782.234758,,existing,
frame_000283.jpg,1257.456842,3797.837591,,existing,
frame_000284.jpg,1262.940858,3818.311178,,existing,
frame_000285.jpg,1269.679605,3831.976500,,existing,
frame_000286.jpg,1279.686511,3845.418965,,existing,
frame_000287.jpg,1290.569643,3857.655625,,existing,
frame_000288.jpg,1298.963243,3869.036113,,existing,
frame_000289.jpg,1309.413711,3883.712391,,existing,
frame_000290.jpg,1321.376089,3891.877660,,existing,
frame_000291.jpg,1337.026681,3898.587994,,existing,
frame_000292.jpg,1352.002251,3904.486136,,existing,
frame_000293.jpg,1365.409386,3911.581186,,existing,
frame_000294.jpg,1380.266272,3916.052787,,existing,
frame_000295.jpg,1395.916702,3915.609423,,existing,
frame_000296.jpg,1413.882571,3914.171574,,existing,
frame_000297.jpg,1430.891319,3914.299947,,existing,
frame_000298.jpg,1447.663053,3915.523302,,existing,
frame_000299.jpg,1465.708743,3912.909370,,existing,
frame_000300.jpg,1483.046213,3907.538849,,existing,
frame_000301.jpg,1501.858526,3902.421324,,existing,
frame_000302.jpg,1519.863085,3900.013538,,existing,
frame_000303.jpg,1540.117531,3893.407676,,existing,
frame_000304.jpg,1557.473040,3884.347297,,existing,
frame_000305.jpg,1573.569423,3876.676308,,existing,
frame_000306.jpg,1594.955196,3868.687035,,existing,
frame_000307.jpg,1608.876575,3863.030485,,existing,
frame_000308.jpg,1622.287962,3855.266071,,existing,
frame_000309.jpg,1634.822123,3845.588743,,existing,
frame_000310.jpg,1649.808565,3834.189116,,existing,
frame_000311.jpg,1664.455330,3824.788051,,existing,
frame_000312.jpg,1677.781558,3811.892542,,existing,
frame_000313.jpg,1688.449684,3796.982542,,existing,
frame_000314.jpg,1697.715896,3781.663285,,existing,
frame_000315.jpg,1711.006165,3765.112360,,existing,
frame_000316.jpg,1722.510306,3750.580770,,existing,
frame_000317.jpg,1734.978820,3731.403713,,existing,
frame_000318.jpg,1743.998869,3712.934663,,existing,
frame_000319.jpg,1755.269465,3700.646371,,existing,
frame_000320.jpg,1768.496145,3685.925266,,existing,
frame_000321.jpg,1778.809207,3670.822730,,existing,
frame_000322.jpg,1790.049403,3648.916067,,existing,
frame_000323.jpg,1800.805028,3634.743692,,existing,
frame_000324.jpg,1814.577269,3622.839153,,existing,
frame_000325.jpg,1825.413729,3605.942188,,existing,
frame_000326.jpg,1833.544881,3586.136263,,existing,
frame_000327.jpg,1840.479415,3566.184384,,existing,
frame_000328.jpg,1847.983729,3551.213539,,existing,
frame_000329.jpg,1857.500701,3535.205995,,existing,
frame_000330.jpg,1864.427122,3516.338944,,existing,
frame_000331.jpg,1870.867432,3496.712480,,existing,
frame_000332.jpg,1877.353379,3480.101459,,existing,
frame_000333.jpg,1885.575530,3462.846845,,existing,
