image_id,image_name,x_world,z_world,u_floorplan,v_floorplan,u_pred,v_pred,residual_px
1,frame_000001.jpg,0.6984305184188162,5.340644641216697,1224.7445544554455,24.332673267326733,1227.3765397470033,20.6919356188007,4.492473394509052
9,frame_000009.jpg,0.5311048927909147,5.2655653442218915,1143.6356435643565,105.44158415841584,1180.483223552181,67.8199222030878,52.660550692525995
20,frame_000020.jpg,0.4344838508117751,4.90023620231893,1216.6336633663366,194.66138613861386,1182.2110466953031,194.94014408414318,34.42374535800985
38,frame_000038.jpg,0.23494247976004054,4.26067557463854,1159.8574257425742,397.43366336633665,1175.4982223007626,421.810840699615,28.963447510832335
59,frame_000059.jpg,0.1695421545103522,3.4359943530996877,1240.9663366336633,632.649504950495,1228.325741070209,687.017975842338,55.81859263109382
81,frame_000081.jpg,-0.29210359372307726,2.6641791130390287,1111.1920792079209,981.4178217821782,1149.4681814944133,992.2566472684329,39.781153127674884
109,frame_000109.jpg,-0.35978281122643696,1.4387763694203985,1208.5227722772277,1378.851485148515,1237.4167827267577,1382.1292679739706,29.079334588473685
143,frame_000143.jpg,-0.737041936872526,-0.012332650180371945,1232.8554455445544,1873.6158415841585,1246.3705036966655,1886.1289477535074,18.418323019763324
172,frame_000172.jpg,-1.106241895716959,-1.2650269988539948,1224.7445544554455,2319.7148514851483,1240.1548425044757,2327.414197294673,17.226633555304165
218,frame_000218.jpg,-1.657989234594936,-3.221463666209729,1216.6336633663366,3057.8059405940594,1238.4132824458059,3013.0648677582735,49.760580842107125
234,frame_000234.jpg,-1.9518253673333494,-3.823870624586385,1143.6356435643565,3187.580198019802,1198.1648049406062,3241.8370364867533,76.92355920539505
280,frame_000280.jpg,-2.239983109651823,-5.334697954303487,1330.1861386138614,3779.6752475247526,1241.0090266859365,3751.676554246844,93.46916131578406
295,frame_000295.jpg,-1.9421894026093869,-5.999703520957573,1468.0712871287128,3925.6712871287127,1395.9167024757307,3915.609422638767,72.8527638697283
310,frame_000310.jpg,-1.1748380757751802,-6.089522300602314,1638.4,3901.338613861386,1649.8085651754702,3834.1891163584514,68.11174916458658
322,frame_000322.jpg,-0.6390666102164744,-5.738352043143629,1792.5069306930693,3747.231683168317,1790.0494025170524,3648.9160666224134,98.34632632456115
339,frame_000339.jpg,-0.17364560054957665,-5.022933135828851,1881.7267326732674,3341.687128712871,1875.1621331017961,3360.639064987259,20.056666125810363
350,frame_000350.jpg,-0.2554709491510435,-4.4568770504644135,1776.2851485148515,3163.2475247524753,1798.3024758797876,3196.6500816460175,40.00616841589665
379,frame_000379.jpg,0.18206728652917506,-3.178111767709745,1800.6178217821782,2700.9267326732675,1824.0809475416181,2737.5421006528077,43.48796894177091
392,frame_000392.jpg,0.4905323743810493,-2.6538563798831087,1889.8376237623763,2514.3762376237623,1876.008442153954,2530.9362475895637,21.5749900121915
417,frame_000417.jpg,0.722492821392631,-1.4818637005742505,1808.7287128712871,2035.8336633663366,1845.4732640196667,2134.2385348299767,105.04132885141644
425,frame_000425.jpg,0.7148796463801104,-1.0721695584541242,1768.1742574257426,1962.8356435643564,1806.380054987541,2008.197794645263,59.30773742118407
436,frame_000436.jpg,1.0442848439327164,-0.6227934405672593,1881.7267326732674,1824.950495049505,1871.7158716468648,1821.8440172301512,10.481771936656697
461,frame_000461.jpg,1.3757096412921168,0.6365479063288595,1857.3940594059407,1338.2970297029703,1865.2338481867912,1383.8764002624046,46.24868980546982
474,frame_000474.jpg,1.362791609529281,1.317659994668838,1776.2851485148515,1200.4118811881187,1800.1581194876164,1174.3722334419842,35.32678867105311
500,frame_000500.jpg,1.6858203108315875,2.5487310144254907,1768.1742574257426,713.7584158415841,1793.5152755727054,746.3725073861222,41.30189061048183
518,frame_000518.jpg,1.9958002182235441,3.2986335044388726,1841.1722772277228,486.65346534653463,1825.740211641086,469.53428486971166,23.048101623958015
525,frame_000525.jpg,1.6795464093297203,3.430489555660046,1760.0633663366336,478.54257425742577,1712.6171229196502,473.6629422585063,47.69650744895815
533,frame_000533.jpg,1.2728929780250204,3.661899664230775,1565.4019801980198,446.0990099009901,1561.6236105845262,459.7759274269572,14.189226545103786
549,frame_000549.jpg,1.4599970195148215,4.3177464026921095,1654.621782178218,251.43762376237623,1562.8945034510066,229.62316460087322,94.28554656578282
563,frame_000563.jpg,2.0837321769032338,4.095876543372012,1760.0633663366336,324.43564356435644,1782.586535054362,209.6319346151006,116.9922421256756
579,frame_000579.jpg,1.6559890176257117,3.527046391948221,1735.7306930693069,478.54257425742577,1696.4308147525503,447.0572464497834,50.35679003735813
