image_id,image_name,x_world,y_world,z_world,u_floorplan,v_floorplan,is_control_point
1,frame_000001.jpg,0.6984305184188162,-0.4168359901865059,5.340644641216697,1227.3765397470033,20.6919356188007,1
2,frame_000002.jpg,0.6924294485637819,-0.41718582766963835,5.341129707621402,1225.4104254205058,21.39612857034399,0
3,frame_000003.jpg,0.6790076787231799,-0.41959578236372863,5.344083180116683,1220.845910518809,22.391290444418246,0
4,frame_000004.jpg,0.6583992060118147,-0.4228141955275722,5.347383878615412,1213.947741683341,24.302280514228187,0
5,frame_000005.jpg,0.6387058954950942,-0.42371090188887023,5.3407070037892215,1208.2354473880719,29.17889506324491,0
6,frame_000006.jpg,0.6124470348020592,-0.4230659661074213,5.318046095069955,1201.8496176483723,39.950338511762766,0
7,frame_000007.jpg,0.5936776075109482,-0.4250890434467837,5.304735233223359,1197.0268524616934,46.753845436680194,0
8,frame_000008.jpg,0.5656132246487305,-0.4222211821053637,5.283911536149085,1189.898171912166,57.21236817410454,0
9,frame_000009.jpg,0.5311048927909147,-0.42481703696255135,5.2655653442218915,1180.483223552181,67.8199222030878,1
10,frame_000010.jpg,0.49739938141273393,-0.428634185239264,5.243717255352583,1171.6387985719139,79.3997467344916,0
11,frame_000011.jpg,0.4728462911232349,-0.42778140365524214,5.219635331381522,1165.9266238889084,90.36917543976779,0
12,frame_000012.jpg,0.4549225522392497,-0.4305688369890577,5.182105184511276,1163.5416330004523,104.56729908695525,0
13,frame_000013.jpg,0.43881105402069126,-0.42794191041877827,5.147519517077281,1161.473843406789,117.59366331888782,0
14,frame_000014.jpg,0.41729558453488325,-0.4289187265925271,5.117833617595553,1157.2362785606692,129.8693293159306,0
15,frame_000015.jpg,0.4000616195249091,-0.427849248159942,5.080394901204083,1155.064108279883,143.94084136618017,0
16,frame_000016.jpg,0.39897081955715713,-0.4225035211301318,5.046745381297587,1157.7251319476036,154.53739530941812,0
17,frame_000017.jpg,0.4077927228214423,-0.4182319661494313,5.010002659530703,1163.8388817527207,164.68192497674272,0
18,frame_000018.jpg,0.4140096025874268,-0.4106982347978056,4.975949080195619,1168.8774045208095,174.3630555222801,0
19,frame_000019.jpg,0.42010921563471665,-0.40577877404073653,4.934070912193653,1174.5783956146174,186.48879961048806,0
20,frame_000020.jpg,0.4344838508117751,-0.3973437660594806,4.90023620231893,1182.2110466953031,194.94014408414318,1
21,frame_000021.jpg,0.46164372533231046,-0.3891892393748026,4.881958120735244,1192.5482335153338,196.74343801999794,0
22,frame_000022.jpg,0.4875567995582599,-0.3827764042841486,4.849494456947097,1203.7550880105846,203.12598896588543,0
23,frame_000023.jpg,0.5046340437340455,-0.3722119256650226,4.81269340326949,1212.519032394248,212.11284742369958,0
24,frame_000024.jpg,0.5169138144384992,-0.3691811362199475,4.768572204581194,1220.4007960304439,224.05437515285303,0
25,frame_000025.jpg,0.5284575990560128,-0.3642645793101343,4.729909039878919,1227.5584406254602,234.40713865540943,0
26,frame_000026.jpg,0.5401058478272777,-0.35790165428407933,4.677477723715811,1235.981346079888,249.01717897453545,0
27,frame_000027.jpg,0.5337078416465942,-0.35205630326571585,4.624957142849295,1238.630295078117,266.2251645964245,0
28,frame_000028.jpg,0.5173457270536724,-0.34723551259773155,4.578557646048008,1237.539153329261,282.95296653561877,0
29,frame_000029.jpg,0.4966709554456623,-0.3498451559394981,4.531127323493231,1235.158479344831,300.61485844266826,0
30,frame_000030.jpg,0.4794686036037791,-0.3476016874541701,4.491119491330912,1233.2262880818207,315.4790455206353,0
31,frame_000031.jpg,0.46011552329035676,-0.3483420790267715,4.445623915046177,1231.0959829661897,332.35235746322064,0
32,frame_000032.jpg,0.4272221534966289,-0.34902738836243014,4.4125261738193435,1223.5182338699997,347.3071959164645,0
33,frame_000033.jpg,0.3897472585380609,-0.35672629317446064,4.389983365471311,1213.5282688149612,359.63944313616844,0
34,frame_000034.jpg,0.3571335658959506,-0.36095301211458564,4.364809915601007,1205.3311669290551,372.09559965307744,0
35,frame_000035.jpg,0.3332454511435386,-0.36113463671140816,4.332812169355878,1200.5402500041682,385.4265397570239,0
36,frame_000036.jpg,0.30491041285514425,-0.36583203897937716,4.301371765653178,1194.274694259539,399.21789597606494,0
37,frame_000037.jpg,0.2717341360018224,-0.367611595455082,4.281185950329124,1185.4511156323006,410.20655286888973,0
38,frame_000038.jpg,0.23494247976004054,-0.37453927529018427,4.26067557463854,1175.4982223007626,421.810840699615,1
39,frame_000039.jpg,0.20337146036162684,-0.3749608278934294,4.230498110569722,1168.0828810561084,435.6712023981247,0
40,frame_000040.jpg,0.17904074146767862,-0.378922756261489,4.196589620390934,1163.3211036055825,449.6580702805875,0
41,frame_000041.jpg,0.15273194702352066,-0.38050853584606514,4.163372019728704,1157.8637476331496,463.71228870149207,0
42,frame_000042.jpg,0.1291051019885291,-0.38165065191227243,4.133943130861781,1152.9267132281686,476.20891995967895,0
43,frame_000043.jpg,0.108801232484838,-0.38522685737030044,4.102693782340039,1149.2172164356843,488.7971498364916,0
44,frame_000044.jpg,0.09716888782131525,-0.3811059216158179,4.069037426778787,1148.5013859660764,500.89720974888405,0
45,frame_000045.jpg,0.0912271226736184,-0.3798488282157077,4.02871491688167,1150.205191552249,514.2552441495718,0
